차량명,엔진,트림,색상,차량가격(만원),연식,최초 등록일,주행거리(km),옵션,수리내역,내차피해액,내차피해횟수,상대차피해횟수,특수용도이력,1인소유
쏘나타 DN8,1.6T,인스퍼레이션,흰색,2450,2021,2021-09-01,28559,,"1. 가니쉬 어셈불리-펜더 사이드,우측(),라디에이터그릴(탈착),램프 앗세이－헤드,우(),몰딩 어셈블리-사이드 실,우측(),미러 어셈블리-아웃사이드 리어 뷰,우측(),사이드스텝몰딩(우)(교환),울트라소닉 센서 앗세이-파킹 어시스트 시스템(),전방감지센서(탈착),커버-프론트 범퍼,하부(),커버－프론트 범퍼(),패널 앗세이－펜더，우(),프런트범퍼 (도장),프런트범퍼커버(교환),프런트패널(볼트식)(판금),프런트펜더(우) (도장),프런트펜더(우)(교환),프런트펜더몰딩(우)(교환),프런트휠하우스어셈블리(우)(판금),헤드램프서포트패널(우)(판금),헤드램프어셈블리(우)(교환)

2. 리어컴비네이션램프(좌)(탈착),리어쿼터패널(연료주입구측,리어펜더,아우터)(좌)(판금),리어펜더(좌) 표면보수(도장),연료필러도어(탈착),연료필러도어오프너(탈착),프런트펜더몰딩(좌)(탈착)",2267633,2,3,X,O
쏘나타 DN8,1.6T,인스퍼레이션,쥐색,2150,2020,2020-01-01,66172,,"라디에이터그릴(탈착),라디에이터그릴상부커버(탈착),리어도어(좌) 표면보수(도장),리어도어(좌)(판금),리어컴비네이션램프(좌)(탈착),리어쿼터패널(연료주입구측,리어펜더,아우터)(좌)(판금),리어펜더(좌) 표면보수(도장),전방감지센서(탈착),전방사각지역감지센서(탈착),쿼터글래스(좌)(탈착),크루즈컨트롤레이더모듈(탈착),프런트도어(좌) 표면보수(도장),프런트도어트림(좌)(탈착),프런트범퍼 표면보수(도장),프런트범퍼커버(탈착),프런트범퍼커버배선(탈착),프런트펜더(좌) 표면보수(도장),프런트펜더(좌)(판금),프런트필러어셈블리(좌) 표면보수(도장),헤드램프어셈블리(좌)(탈착)",1763010,1,1,X,X
쏘나타 DN8,1.6T,인스퍼레이션,검정색,2050,2021,2020-09-01,93250,,"라디에이터그릴(교환),액세서리-가니쉬 대(도장),전방감지센서(교환),전자제어시스템진단및코딩(조정),크루즈컨트롤레이더모듈(교환),프런트범퍼 표면보수(도장),프런트범퍼커버(오버홀),프런트범퍼커버(탈착),프런트패널(볼트식)(판금),프런트패널배선(앞배선)(교환),헤드램프어셈블리(우)(탈착),헤드램프어셈블리(좌)(탈착),후드 (도장),후드(교환),후드로크(래치)(교환)",1858992,1,1,X,X
K5 3세대,1.6T,시그니처,밝은쥐색,2420,2019,2019-12-01,22081,"10.25인치 UVO 내비게이션

93만원

파노라마 선루프

118만원

드라이브 와이즈

74만원

헤드업 디스플레이

74만원

스마트 커넥트

59만원

KRELL 프리미엄 사운드 시스템

59만원","1. 라디에터그릴(탈착),전방 감지 센서(탈착),헤드램프(우)(탈착),후론트 범퍼 커버(수리),후론트 범퍼 커버(오버홀),후론트 범퍼 커버(탈착),후론트 범퍼(도장),후론트 휀다(우)(도장),후론트 휀다(우)(판금)

2. 라디에터그릴(탈착),사이드스텝몰딩(우)(교환),전방 감지 센서(탈착),헤드램프(우)(탈착),후론트 범퍼 커버(수리),후론트 범퍼 커버(오버홀),후론트 범퍼 커버(탈착),후론트 범퍼(도장),후론트 휀다(우)(도장),후론트 휀다(우)(판금),후론트 휠 가아드(우)(교환)",1833743,3,1,X,X
K5 3세대,1.6T,시그니처,쥐색,2230,2020,2020-01-01,53957,"10.25인치 UVO 내비게이션

95만원

파노라마 선루프

120만원

드라이브 와이즈

75만원

헤드업 디스플레이

75만원

스마트 커넥트

60만원

스타일

30만원

보조 배터리

29만원

KRELL 프리미엄 사운드 시스템

60만원",세부사항 확인불가,4508520,3,2,X,O
K5 3세대,1.6T,시그니처,쥐색,2210,2020,2020-07-01,99173,"10.25인치 UVO 내비게이션

93만원

파노라마 선루프

118만원

드라이브 와이즈

74만원

헤드업 디스플레이

74만원

스타일

29만원

스마트 커넥트

59만원

보조 배터리

28만원

KRELL 프리미엄 사운드 시스템

59만원","1. 프런트도어(좌) (도장),프런트도어(좌)(교환),프런트도어글래스(좌)(탈착),프런트도어픽스드글래스(좌)(탈착)

2. 라디에터그릴(교환),전방 감지 센서(교환),후드 (도장),후드(판금),후론트 범퍼 커버(교환),후론트 범퍼(도장),후론트범퍼 사이드브라켓(우)(교환),후론트범퍼 사이드브라켓(좌)(교환)",2080029,2,0,X,O
K5 3세대,1.6T,시그니처,흰색,2190,2020,2020-02-01,99939,"10.25인치 UVO 내비게이션

95만원

파노라마 선루프

120만원

드라이브 와이즈

75만원

헤드업 디스플레이

75만원

스마트 커넥트

60만원

스타일

30만원

보조 배터리

29만원

KRELL 프리미엄 사운드 시스템

60만원","1. 사이드미러(좌)(탈착),사이드스텝몰딩(좌)(교환),프런트도어(좌) 표면보수(도장),프런트도어(좌)(판금),프런트도어아웃사이드핸들(좌)(탈착),프런트도어트림(좌)(탈착),프런트범퍼 표면보수(도장),프런트범퍼사이드마운팅브라켓(펜더부착)(좌)(교환),프런트범퍼커버(오버홀),프런트범퍼커버(탈착),프런트펜더(좌) (도장),프런트펜더(좌)(교환),헤드램프어셈블리(좌)(탈착)

2. 프런트범퍼 표면보수(도장),프런트범퍼커버(수리),프런트범퍼커버(오버홀),프런트범퍼커버(탈착),프런트펜더(좌) 표면보수(도장),헤드램프어셈블리(좌)(교환),휠(프런트)(좌)(교환)",2803288,2,2,X,X
K5 3세대,1.6T,시그니처,밝은쥐색,2150,2021,2021-01-01,114080,"10.25인치 UVO 내비게이션

95만원

파노라마 선루프

120만원

드라이브 와이즈

75만원

스타일

30만원

KRELL 프리미엄 사운드 시스템

60만원","리어범퍼 표면보수(도장),리어범퍼어셈블리(오버홀),리어범퍼언더커버(사이드)(탈착),리어쿼터패널(연료주입구측,리어펜더,아우터)(좌)(판금),리어펜더(좌) 표면보수(도장),후방감지센서(탈착),휠얼라인먼트(조정)",4337840,3,0,X,X
아반떼 CN7,1.6,인스퍼레이션,쥐색,2180,2022,2022-12-01,22372,"선루프

45만원",세부사항 확인불가,1383733,1,1,X,X
아반떼 CN7,1.6,인스퍼레이션,흰색,2030,2022,2022-01-01,18591,,"라디에이터그릴(교환),라디에이터그릴상부커버(탈착),프런트범퍼 (도장),프런트범퍼사이드마운팅브라켓(펜더부착)(좌)(교환),프런트범퍼커버(교환),프런트펜더(좌) (도장),프런트펜더(좌)(교환),프런트휠가드(좌)(교환),프런트휠하우스어셈블리(좌)(판금),헤드램프어셈블리(좌)(교환),헤드램프초점조정(에이밍)(좌)(조정),후드 (도장),후드(교환),후드로크(래치)(교환),휠얼라인먼트(조정)",2745460,2,1,X,X
